model,dropout,type,round,sparsity,remaining_percent,test_accuracy,early_stop_epoch
Conv4,False,winning_ticket,8,83.22278399999999,16.77721600000001,76.06,3
Conv4,False,winning_ticket,9,86.57822719999999,13.421772800000006,75.74,4
Conv4,False,winning_ticket,10,89.26258175999999,10.737418240000006,75.92,5
Conv4,False,winning_ticket,11,91.410065408,8.589934592000006,75.74,4
Conv4,False,winning_ticket,12,93.1280523264,6.871947673600004,75.04,6
Conv4,False,winning_ticket,13,94.50244186112,5.497558138880003,74.62,25
Conv4,False,winning_ticket,14,95.601953488896,4.3980465111040035,74.08,25
Conv4,False,random_reinit,0,0.0,100.0,73.46,25
Conv4,False,random_reinit,1,19.999999999999996,80.0,73.02,25
Conv4,False,random_reinit,2,35.999999999999986,64.00000000000001,73.2,25
Conv4,False,random_reinit,3,48.79999999999999,51.20000000000001,73.18,25
Conv4,False,random_reinit,4,59.03999999999999,40.96000000000001,73.36,25
Conv4,False,random_reinit,5,67.23199999999999,32.76800000000001,72.38,25
Conv4,False,random_reinit,6,73.78559999999999,26.21440000000001,73.4,25
Conv4,False,random_reinit,7,79.02847999999999,20.97152000000001,72.86,25
Conv4,False,random_reinit,8,83.22278399999999,16.77721600000001,72.26,25
Conv4,False,random_reinit,9,86.57822719999999,13.421772800000006,72.32,25
Conv4,False,random_reinit,10,89.26258175999999,10.737418240000006,71.88,25
Conv4,False,random_reinit,11,91.410065408,8.589934592000006,71.88,25
Conv4,False,random_reinit,12,93.1280523264,6.871947673600004,70.82,25
Conv4,False,random_reinit,13,94.50244186112,5.497558138880003,69.82,25
Conv4,False,random_reinit,14,95.601953488896,4.3980465111040035,68.64,25
Conv2,True,winning_ticket,0,0.0,100.0,73.08,25
Conv2,True,winning_ticket,1,19.999999999999996,80.0,72.52,25
Conv2,True,winning_ticket,2,35.999999999999986,64.00000000000001,71.88,25
Conv2,True,winning_ticket,3,48.79999999999999,51.20000000000001,70.34,25
Conv2,True,winning_ticket,4,59.03999999999999,40.96000000000001,70.3,25
Conv2,True,winning_ticket,5,67.23199999999999,32.76800000000001,66.66,25
Conv2,True,winning_ticket,6,73.78559999999999,26.21440000000001,67.36,25
Conv2,True,winning_ticket,7,79.02847999999999,20.97152000000001,65.14,25
Conv2,True,winning_ticket,8,83.22278399999999,16.77721600000001,59.78,25
Conv2,True,winning_ticket,9,86.57822719999999,13.421772800000006,53.22,25
Conv2,True,winning_ticket,10,89.26258175999999,10.737418240000006,34.46,25
Conv2,True,winning_ticket,11,91.410065408,8.589934592000006,34.4,25
Conv2,True,winning_ticket,12,93.1280523264,6.871947673600004,9.66,25
Conv2,True,winning_ticket,13,94.50244186112,5.497558138880003,50.58,25
Conv2,True,winning_ticket,14,95.601953488896,4.3980465111040035,32.7,25
Conv2,True,random_reinit,0,0.0,100.0,69.16,25
Conv2,True,random_reinit,1,19.999999999999996,80.0,69.36,25
Conv2,True,random_reinit,2,35.999999999999986,64.00000000000001,69.44,25
Conv2,True,random_reinit,3,48.79999999999999,51.20000000000001,70.92,25
Conv2,True,random_reinit,4,59.03999999999999,40.96000000000001,70.7,25
Conv2,True,random_reinit,5,67.23199999999999,32.76800000000001,70.26,25
Conv2,True,random_reinit,6,73.78559999999999,26.21440000000001,71.34,25
Conv2,True,random_reinit,7,79.02847999999999,20.97152000000001,71.04,25
Conv2,True,random_reinit,8,83.22278399999999,16.77721600000001,71.06,25
Conv2,True,random_reinit,9,86.57822719999999,13.421772800000006,70.98,25
Conv2,True,random_reinit,10,89.26258175999999,10.737418240000006,70.48,25
Conv2,True,random_reinit,11,91.410065408,8.589934592000006,70.12,25
Conv2,True,random_reinit,12,93.1280523264,6.871947673600004,70.64,25
Conv2,True,random_reinit,13,94.50244186112,5.497558138880003,70.52,25
Conv2,True,random_reinit,14,95.601953488896,4.3980465111040035,69.34,25
